片名,英文译名,中文译名,上映时间,观看时间
หลานม่า,How to Make Millions Before Grandma Dies,姥姥的外孙,2024,2024/10/7
Hello！树先生,,,2011,2024/10/6
逆行人生,,,2024,2024/10/3
龙年档案,,,2003,2024/9/17
来福大酒店,,,2024,2024/9/3
大明劫,,,2013,2024/8/18
红毯先生,,,2023,2024/8/17
抓娃娃,,,2024,2024/8/11
House of the Dragon Season 2,,,2024,2024/8/5
谈判专家,,,2024,2024/7/20
扫黑·决不放弃,,,2024,2024/6/30
金手指,,,2023,2024/6/27
九龍城寨·圍城,,,2024,2024/6/23
万物经济学,,,2024,2024/6/19
万引き家族,,小偷家族,2018,2024/6/9
天国と地獄,,天国与地狱,1963,2024/5/18
Das Boot,,从海底出击,1981,2024/5/12
인민을 위해 복무하라,Serve the People,为人民服务,2022,2024/5/5
Paths of Glory,,光荣之路,1957,2024/5/2
飞驰人生2,,,2024,2024/5/1
Sunset Blvd.,,日落大道,1950,2024/4/14
C'era una volta il West,Once Upon a Time in the West,西部往事,1968,2024/4/8
3 Body Problem Season 1,,,2024,2024/3/23
Dune: Part Two,,,2024,2024/3/9
周處除三害,,,2023,2024/3/2
年会不能停！,,,2023,2024/2/17
非诚勿扰3,,,2023,2024/2/12
热辣滚烫,,,2024,2024/2/10
三大队,,,2023,2024/2/9
志愿军：雄兵出击,,,2023,2024/1/6
保你平安,,,2022,2024/1/1
漫长的季节,,,2023,2023/12/29
Killers of the Flower Moon,,花月杀手,2023,2023/12/12
Napoleon,,拿破仑,2023,2023/12/10
长安三万里,,,2023,2023/12/4
切腹,,,1962,2023/10/21
坚如磐石,,,2023,2023/10/1
Murder on the Orient Express,,,2017,2023/9/24
A Haunting in Venice,,,2023,2023/9/16
Spider-Man: Across the Spider-Verse,,,2023,2023/9/9
Unknown: Cosmic Time Machine,,,2023,2023/9/3
Oppenheimer,,,2023,2023/9/2
扫毒3：人在天涯,,,2023,2023/8/12
高山下的花环,,,1984,2023/8/5
茶馆,,,1982,2023/8/3
封神第一部：朝歌风云,,,2023,2023/8/1
X-Men: First Class,,X战警：第一战,2011,2023/7/27
The Great Dictator,,大独裁者,1940,2023/7/23
M - Eine Stadt sucht einen Mörder,,M就是凶手,1931,2023/7/21
Our Planet Season 2,,,2023,2023/7/19
The Flash,,,2023,2023/7/19
Mission: Impossible – Dead Reckoning Part One,,,2023,2023/7/14
Guardians of the Galaxy Vol. 3,,,2023,2023/7/9
Black Mirror Season 6,,,2023,2023/6/22
Fast X,,,2023,2023/6/10
满江红,,,2023,2023/6/2
John Wick: Chapter 4,,,2023,2023/5/24
Chris Rock: Selective Outrage,,,2023,2023/4/28
Hacksaw Ridge,,,2016,2023/4/25
Inside Out,,,2015,2023/4/20
Jagten,,狩猎,2012,2023/4/17
流浪地球2,,,2023,2023/4/15
كفرناحوم,Capernaum,何以为家,2018,2023/4/14
Coco,,寻梦环游记,2017,2023/4/12
Aliens,,异形2,1986,2023/4/10
Alien,,异形,1979,2023/4/9
宇宙探索编辑部,,,2021,2023/4/8
А зори здесь тихие,The Dawns Here Are Quiet,这里的黎明静悄悄,1972,2023/4/7
火垂るの墓,,萤火虫之墓,1988,2023/4/5
아가씨,The Handmaiden,小姐,2016,2023/4/5
It's a Wonderful Life,,,1946,2023/4/3
Harry Potter 20th Anniversary: Return to Hogwarts,,,2022,2023/4/2
Now You See Me 2,,,2016,2023/3/27
落叶归根,,,2007,2023/3/26
Poker Face Season 1,,,2023,2023/3/26
パプリカ,Paprika,红辣椒,2006,2023/2/26
Kundun,,,1997,2023/2/26
别拿自己不当干部,,,2007,2023/2/22
大佛普拉斯,,,2017,2023/2/19
Witness for the Prosecution,,控方证人,1957,2023/2/18
三体,,,2023,2023/2/11
狂飙,,,2023,2023/2/3
Avatar: The Way of Water,,,2022,2023/1/10
Fantastic Beasts: The Secrets of Dumbledore,,,2022,2023/1/10
怒火,,,2021,2023/1/4
神探大戰,,,2022,2023/1/3
Glass Onion: A Knives Out Mystery,,利刃出鞘2,2022,2022/12/24
父母爱情,,,2014,2022/11/5
独行月球,,,2022,2022/10/29
Top Gun: Maverick,,壮志凌云2：独行侠,2022,2022/10/29
House of the Dragon Season 1,,龙之家族 第一季,2022,2022/10/26
Orphan: First Kill,,孤儿怨：首杀,2022,2022/8/21
第二次拥抱,,,2022,2022/8/17
Hustle,,必胜球探,2022,2022/6/25
Doctor Strange in the Multiverse of Madness,,奇异博士2：疯狂多元宇宙,2022,2022/6/23
人参王国,,,1997,2022/5/31
Everything Everywhere All at Once,,瞬息全宇宙,2022,2022/5/21
"Love, Death & Robots Season 3",,爱，死亡和机器人 第三季,2022,2022/5/20
长津湖之水门桥,,,2022,2022/5/4
Return to Space,,回到太空,2022,2022/4/16
CODA,,健听女孩,2021,2022/4/1
The Batman,,新蝙蝠侠,2022,2022/3/18
人世间,,,2022,2022/3/13
Spider-Man: No Way Home,,蜘蛛侠：英雄无归,2021,2022/3/13
Jurassic Park III,,侏罗纪公园3,2001,2022/2/27
The Lost World: Jurassic Park,,侏罗纪公园2：失落的世界,1997,2022/2/26
Space Force Season 2,,太空部队 第二季,2022,2022/2/23
Death on the Nile,,尼罗河上的惨案,2022,2022/2/21
Ali Wong: Don Wong,,黄阿丽：风流女子,2022,2022/2/17
The King's Man,,王牌特工：源起,2021,2022/2/17
江湖儿女,,,2018,2022/2/12
我和我的父辈,,,2021,2022/2/10
Jurassic World,,侏罗纪世界,2015,2022/2/7
Jurassic Park,,侏罗纪公园,1993,2022/2/6
这个杀手不太冷静,,,2022,2022/2/3
奇迹·笨小孩,,,2022,2022/2/1
나쁜 녀석들,The Bad Guys: The Movie,坏家伙们,2019,2022/1/20
Eternals,,永恒族,2021,2022/1/13
Don't Look Up,,不要抬头,2021,2022/1/8
爱情神话,,,2021,2022/1/7
The Matrix Resurrections ,,黑客帝国：矩阵重启,2021,2022/1/5
长津湖,,,2021,2022/1/2
Genius Season 1,,天才 第一季,2017,2021/12/20
Dark Phoenix,,X战警：黑凤凰,2019,2021/12/19
扬名立万,,,2021,2021/11/27
Red Notice,,红色通缉令,2021,2021/11/18
No Time to Die,,007：无暇赴死,2021,2021/11/15
Shang-Chi and the Legend of the Ten Rings,,尚气与十环传奇,2021,2021/11/13
Dune,,沙丘,2021,2021/10/25
오징어 게임,Squid Game Season 1,鱿鱼游戏 第一季,2021,2021/10/23
云南虫谷,,,2021,2021/9/25
僵尸先生,,,1985,2021/9/20
龙虎武师,,,2020,2021/9/20
无证之罪,,,2017,2021/9/19
失控玩家,,,2021,2021/9/11
扫黑风暴,,,2021,2021/9/1
无依之地,,,2020,2021/8/29
速度与激情9,,,2021,2021/8/21
X特遣队：全员集结,,,2021,2021/8/14
人之怒,,,2021,2021/8/6
觉醒年代,,,2021,2021/7/17
全裸导演 第二季,,,2021,2021/7/4
扫黑·决战,,,2021,2021/6/6
刘老根4,,,2021,2021/5/30
老友记重聚特辑,,,2021,2021/5/28
我和我的家乡,,,2020,2021/5/15
爱，死亡和机器人 第二季,,,2021,2021/5/14
刺杀,,,2020,2021/5/11
Do Not Split,,不割席,2021,2021/4/24
刺杀小说家,,,2021,2021/4/12
壮志凌云,,,1986,2021/3/28
扎克·施奈德版正义联盟,,,2021,2021/3/21
探世界 第二季,,,2021,2021/3/20
济公,,,1993,2021/2/28
拆弹专家2,,,2020,2021/2/21
你好，李焕英,,,2021,2021/2/13
唐人街探案3,,,2021,2021/2/13
山海情,,,2021,2021/1/25
男妇女主任,,,1999,2021/1/9
神奇女侠1984,,,2020,2021/1/2
我们的星球 第一季,,,2019,2020/12/8
Seven Years in Tibet,,西藏七年,1997,2020/11/13
金刚川,,,2020,2020/11/6
后翼弃兵,,,2020,2020/11/1
误杀,,,2019,2020/10/25
挑战者号：最后的飞行,,,2020,2020/10/25
侠女,,,1970,2020/10/25
姜子牙,,,2020,2020/10/8
监视资本主义：智能陷阱,,,2020,2020/10/3
沉默的真相,,,2020,2020/10/2
最后的舞动,,,2020,2020/9/18
花木兰,,,2020,2020/9/11
信条,,,2020,2020/9/6
007：幽灵党,,,2015,2020/9/2
摩天大楼,,,2020,2020/8/31
八佰,,,2020,2020/8/22
汉密尔顿,,,2020,2020/7/27
探世界,,,2020,2020/7/18
黑镜 第五季,,,2019,2020/7/8
侏罗纪世界2,,,2018,2020/7/4
名侦探柯南：贝克街的亡灵,,,2002,2020/6/16
发现的乐趣,,,1981,2020/6/16
太空部队 第一季,,,2020,2020/6/7
大城晓聚,,,2019,2020/5/8
龙岭迷窟,,,2020,2020/4/29
大开眼戒,,,1999,2020/4/28
黑镜：潘达斯奈基,,,2018,2020/4/26
全裸导演 第一季,,,2019,2020/4/23
我是余欢水,,,2020,2020/4/15
300勇士：帝国崛起,,,2014,2020/4/13
罗马,,,2018,2020/4/11
黑衣人：全球追缉,,,2019,2020/4/5
教宗的承继,,,2019,2020/4/5
刘老根3,,,2020,2020/3/22
利刃出鞘,,,2019,2020/2/14
人体奥妙之细胞的暗战,,,2012,2020/2/1
囧妈,,,2020,2020/1/25
唐人街探案,,,2020,2020/1/17
敦刻尔克,,,2017,2020/1/14
影子司令：伊朗军事大师苏莱曼尼,,,2019,2020/1/11
波西米亚狂想曲,,,2018,2019/12/15
我和我的祖国,,,2019,2019/12/14
好莱坞往事,,,2019,2019/12/11
速度与激情：特别行动,,,2019,2019/12/10
神奇的费曼先生,,,2013,2019/12/8
巴斯特·斯克鲁格斯的歌谣,,,2018,2019/12/7
犯罪现场,,,2019,2019/11/24
宵夜江湖,,,2019,2019/11/23
小丑,,,2019,2019/11/17
少年的你,,,2019,2019/11/16
诛仙1,,,2019,2019/10/27
嘻哈星节奏 第一季,,,2019,2019/10/26
看不见的客人,,,2016,2019/10/20
速度与激情8,,,2017,2019/10/19
碟中谍,,,1996,2019/10/13
走进比尔：解码比尔·盖茨,,,2019,2019/9/26
徒手攀岩,,,2018,2019/9/17
蜘蛛侠：英雄远征,,,2019,2019/9/14
哪吒之魔童降世,,,2019,2019/9/10
追龙,,,2017,2019/9/7
缝纫机乐队,,,2017,2019/9/4
扫毒2：天地对决,,,2019,2019/8/30
美国工厂,,,2019,2019/8/27
不信上帝的人,,,2013,2019/8/22
追龙Ⅱ,,,2019,2019/8/18
行星,,,2019,2019/8/17
决战兰州,,,2018,2019/8/14
寄生虫,,,2019,2019/8/12
权力的游戏 第八季,,,2019,2019/7/19
权力的游戏 第七季,,,2017,2019/7/17
权力的游戏 第六季,,,2016,2019/7/15
权力的游戏 第五季,,,2015,2019/7/14
权力的游戏 第四季,,,2014,2019/7/13
权力的游戏 第三季,,,2013,2019/7/6
权力的游戏  第二季,,,2012,2019/6/26
权力的游戏 第一季,,,2011,2019/6/16
切尔诺贝利,,,2019,2019/6/9
登月第一人,,,2018,2019/6/3
破冰行动,,,2019,2019/6/2
阿波罗11号,,,2019,2019/5/31
晓说2018,,,2018,2019/5/3
真探 第一季,,,2014,2019/4/29
心里的声音,,,2016,2019/4/28
复仇者联盟4：终局之战,,,2019,2019/4/27
蜘蛛侠：平行宇宙,,,2018,2019/4/9
爱，死亡和机器人 第一季,,,2019,2019/3/21
摘金奇缘,,,2018,2019/3/10
新喜剧之王,,,2019,2019/3/10
瑞克和莫蒂 第一季,,,2013,2019/3/3
绿皮书,,,2018,2019/3/2
神奇动物：格林德沃之罪,,,2018,2019/2/16
流浪地球,,,2019,2019/2/10
疯狂的外星人,,,2019,2019/2/9
飞驰人生,,,2019,2019/2/6
死侍2：我爱我家,,,2018,2019/1/31
大江大河,,,2018,2019/1/12
无双,,,2018,2018/12/22
知无涯者,,,2015,2018/12/17
海王,,,2018,2018/12/16
奇迹,,,1989,2018/12/15
李茶的姑妈,,,2018,2018/12/14
碟中谍6：全面瓦解,,,2018,2018/12/4
无敌破坏王2：大闹互联网,,,2018,2018/12/2
神奇动物在哪里,,,2016,2018/11/17
黑豹,,,2018,2018/11/15
毒液：致命守护者,,,2018,2018/11/9
奇迹男孩,,,2017,2018/10/4
影,,,2018,2018/10/2
西虹市首富,,,2018,2018/8/5
狄仁杰之四大天王,,,2018,2018/7/28
邪不压正,,,2018,2018/7/23
我不是药神,,,2018,2018/7/1
复仇者联盟3：无限战争,,,2018,2018/5/11
头号玩家,,,2018,2018/4/1
前任3：再见前任,,,2017,2018/3/19
三块广告牌,,,2017,2018/3/17
红海行动,,,2018,2018/2/17
唐人街探案2,,,2018,2018/2/16
异次元骇客,,,1999,2018/2/16
妖猫传,,,2017,2018/2/12
奇门遁甲,,,2017,2018/2/7
横空出世,,,1999,2018/2/4
芳华,,,2017,2018/1/1
天才枪手,,,2017,2017/12/3
我是传奇,,,2007,2017/11/27
正义联盟,,,2017,2017/11/17
白夜追凶,,,2017,2017/10/28
金刚狼2,,,2013,2017/10/11
金刚狼,,,2009,2017/10/8
羞羞的铁拳,,,2017,2017/10/5
蜘蛛侠：英雄归来,,,2017,2017/9/22
绣春刀II：修罗战场,,,2017,2017/9/5
战狼2,,,2017,2017/8/3
神偷奶爸3,,,2017,2017/7/15
隐藏人物,,,2016,2017/6/29
8英里,,,2002,2017/6/28
乘风破浪,,,2017,2017/6/23
神奇女侠,,,2017,2017/6/10
摔跤吧！爸爸,,,2016,2017/5/20
人民的名义,,,2017,2017/5/7
银河护卫队2,,,2017,2017/5/6
射雕英雄传,,,2017,2017/4/5
神探夏洛克 第四季,,,2017,2017/3/6
金刚狼3：殊死一战,,,2017,2017/3/5
爱乐之城,,,2016,2017/3/4
奇异博士,,,2016,2017/2/7
我不是潘金莲,,,2016,2017/2/6
西游伏妖篇,,,2017,2017/2/5
鬼吹灯之精绝古城,,,2016,2017/1/26
西部世界 第一季,,,2016,2016/12/25
长城,,,2016,2016/12/18
三少爷的剑,,,2016,2016/12/11
你的名字。,,,2016,2016/12/4
如果蜗牛有爱情,,,2016,2016/12/2
七月与安生,,,2016,2016/10/30
驴得水,,,2016,2016/10/30
伦敦生活 第一季,,,2016,2016/10/17
湄公河行动,,,2016,2016/10/2
釜山行,,,2016,2016/9/17
请回答1988,,,2015,2016/9/4
微微一笑很倾城,,,2016,2016/8/15
树大招风,,,2016,2016/7/1
X战警：天启,,,2016,2016/6/18
阳光小美女,,,2006,2016/6/12
初恋这件小事,,,2010,2016/6/6
罗马 第二季,,,2007,2016/5/14
美国队长3,,,2016,2016/5/11
罗马 第一季,,,2005,2016/4/24
消失的子弹,,,2012,2016/4/17
奇幻森林,,,2016,2016/4/16
死侍,,,2016,2016/4/10
火锅英雄,,,2016,2016/4/9
解救吾先生,,,2015,2016/4/4
蝙蝠侠大战超人：正义黎明,,,2016,2016/3/28
疯狂动物城,,,2016,2016/3/19
八恶人,,,2015,2016/3/6
史蒂夫·乔布斯,,,2015,2016/3/4
聚焦,,,2015,2016/3/2
心迷宫,,,2014,2016/2/28
美人鱼,,,2016,2016/2/21
福尔摩斯先生,,,2015,2016/2/21
火星救援,,,2015,2016/2/20
间谍之桥,,,2015,2016/2/18
星球大战7：原力觉醒,,,2015,2016/1/31
功夫熊猫3,,,2016,2016/1/31
万万没想到,,,2015,2016/1/26
师父,,,2015,2016/1/20
唐人街探案,,,2015,2016/1/17
刺客聂隐娘,,,2015,2016/1/13
老炮儿,,,2015,2016/1/10
神探夏洛克：可恶的新娘,,,2016,2016/1/7
一个勺子,,,2014,2016/1/7
山河故人,,,2015,2016/1/3
我的少女时代,,,2015,2015/12/26
边境杀手,,,2015,2015/12/26
寻龙诀,,,2015,2015/12/20
冰血暴 第二季,,,2015,2015/12/20
琅琊榜,,,2015,2015/11/22
西游记之大圣归来,,,2015,2015/11/20
蚁人,,,2015,2015/11/7
夏洛特烦恼,,,2015,2015/10/24
再次出发之纽约遇见你,,,2013,2015/10/14
金蝉脱壳,,,2013,2015/10/12
港囧,,,2015,2015/9/27
九层妖塔,,,2015,2015/9/27
十二公民,,,2014,2015/9/25
安妮·霍尔,,,1977,2015/9/21
午夜巴黎,,,2011,2015/9/20
煎饼侠,,,2015,2015/9/15
碟中谍5：神秘国度,,,2015,2015/9/12
少年班,,,2015,2015/9/1
我是路人甲,,,2015,2015/8/30
杀破狼2,,,2015,2015/8/20
速度与激情7,,,2015,2015/8/15
捉妖记,,,2015,2015/8/12
道士下山,,,2015,2015/8/8
疯狂的麦克斯4：狂暴之路,,,2015,2015/6/24
我的个神啊,,,2014,2015/6/7
王牌特工：特工学院,,,2014,2015/6/6
机械姬,,,2014,2015/6/4
哆啦A梦：伴我同行,,,2014,2015/5/31
生活大爆炸 第八季,,,2014,2015/5/24
复仇者联盟2：奥创纪元,,,2015,2015/5/24
黄金时代,,,2014,2015/5/17
回到未来,,,1985,2015/4/12
微爱之渐入佳境,,,2014,2015/4/12
阿黛尔的生活,,,2013,2015/4/1
狼图腾,,,2015,2015/3/29
模仿游戏,,,2014,2015/3/15
美国队长2,,,2014,2015/2/27
彗星来的那一夜,,,2013,2015/2/15
爆裂鼓手,,,2014,2015/2/13
黑镜：圣诞特别篇,,,2014,2015/2/10
鸟人,,,2014,2015/2/8
催眠大师,,,2014,2015/1/26
消失的爱人,,,2014,2015/1/26
霍比特人3：五军之战,,,2014,2015/1/25
未知电影,,,,2015/1/11
马达加斯加的企鹅,,,2014,2015/1/10
智取威虎山,,,2014,2015/1/3
推拿,,,2014,2015/1/1
七剑,,,2005,2014/12/25
黄海,,,2010,2014/12/21
万物理论,,,2014,2014/12/17
匆匆那年,,,2014,2014/12/14
星际穿越,,,2014,2014/11/12
公民凯恩,,,1941,2014/11/10
罪恶之城2,,,2014,2014/11/10
冰血暴,,,1996,2014/11/8
热天午后,,,1975,2014/11/2
超体,,,2014,2014/11/1
背靠背，脸对脸,,,1994,2014/10/21
归来,,,2014,2014/10/15
