片名,英文译名,中文译名,上映时间,观看时间
神偷奶爸,,,2010,2010/12/4
密室之不可告人,,,2010,2010/12/2
功夫熊猫感恩节特辑,,,2010,2010/11/29
勺子杀人狂,,,2008,2010/11/27
蝴蝶效应,,,2004,2010/11/27
自由边缘,,,2000,2010/11/25
生化危机4：战神再生,,,2010,2010/11/24
魂断蓝桥,,,1940,2010/11/23
怪物史瑞克2,,,2004,2010/11/20
怪物史瑞克3,,,2007,2010/11/20
怪物史瑞克,,,2001,2010/11/20
怪物史瑞克4,,,2010,2010/11/20
迁徙的鸟,,,2001,2010/11/19
红领巾侠,,,2010,2010/11/19
歪小子斯科特对抗全世界,,,2010,2010/11/18
狼犬丹尼,,,2005,2010/11/17
西风烈,,,2010,2010/11/16
岁月神偷,,,2010,2010/11/14
大鱼,,,2003,2010/11/13
龙猫,,,1988,2010/11/12
牯岭街少年杀人事件,,,1991,2010/11/11
荆轲刺秦王,,,1998,2010/11/9
音乐人生,,,2009,2010/11/4
三傻大闹宝莱坞,,,2009,2010/11/3
11度青春之《老男孩》,,,2010,2010/11/1
志明与春娇,,,2010,2010/11/1
冲出亚马逊,,,2002,2010/10/30
天浴,,,1998,2010/10/28
金鸡2,,,2003,2010/10/27
盲井,,,2003,2010/10/27
金鸡,,,2002,2010/10/25
破事儿,,,2007,2010/10/24
大丈夫,,,2003,2010/10/22
骨碎龙传说,,,2010,2010/10/19
玩具总动员3,,,2010,2010/10/19
狄仁杰之通天帝国,,,2010,2010/10/16
双瞳,,,2002,2010/10/15
剑雨,,,2010,2010/10/10
笑傲江湖,,,1990,2010/10/6
精武门,,,1972,2010/10/5
驯龙高手,,,2010,2010/10/4
精武风云·陈真,,,2010,2010/10/1
线人,,,2010,2010/9/30
恋爱通告,,,2010,2010/9/28
山楂树之恋,,,2010,2010/9/26
上帝也疯狂2,,,1989,2010/9/22
上帝也疯狂,,,1980,2010/9/22
人间喜剧,,,2010,2010/9/22
玛丽和马克思,,,2009,2010/9/21
青春梦工场,,,2005,2010/9/20
阿Q正传,,,1981,2010/9/20
唐山大地震,,,2010,2010/9/20
离开雷锋的日子,,,1996,2010/9/19
棋王,,,1991,2010/9/15
蜀山：新蜀山剑侠,,,1983,2010/9/15
小兵张嘎,,,1963,2010/9/14
祝福,,,1956,2010/9/14
梅兰芳,,,2008,2010/9/14
幸福时光,,,2000,2010/9/14
千里走单骑,,,2005,2010/9/14
独臂刀,,,1967,2010/9/14
怪兽电力公司,,,2001,2010/9/10
玩具总动员,,,1995,2010/9/9
钢铁侠2,,,2010,2010/9/9
盗梦空间,,,2010,2010/9/6
龙凤店,,,2010,2010/9/5
死亡诗社,,,1989,2010/9/3
敢死队,,,2010,2010/9/2
蓝风筝,,,1993,2010/9/2
叶问前传,,,2010,2010/8/27
山村老尸,,,1999,2010/8/25
城市之光,,,1931,2010/8/22
功夫梦,,,2010,2010/8/22
巴顿将军,,,1970,2010/8/15
金钱帝国,,,2009,2010/8/14
老妇人与死神,,,2009,2010/7/29
商标的世界,,,2009,2010/7/29
花样年华,,,2000,2010/7/29
魔术师,,,2006,2010/7/9
天使与魔鬼,,,2009,2010/7/9
东方快车谋杀案,,,1974,2010/7/9
昼与夜,,,2010,2010/7/9
独自等待,,,2004,2010/7/8
围城,,,1990,2010/7/8
东邪西毒：终极版,,,2008,2010/7/8
唐朝豪放女,,,1984,2010/7/8
喋血双雄,,,1989,2010/7/8
买凶拍人,,,2001,2010/7/7
富贵列车,,,1986,2010/7/7
十面埋伏,,,2004,2010/7/7
波斯王子：时之刃,,,2010,2010/7/7
辣手神探,,,1992,2010/7/7
大闹天宫,,,1961,2010/7/6
甜蜜蜜,,,1996,2010/7/6
三国,,,2010,2010/7/3
人在囧途,,,2010,2010/6/18
神笔,,,1955,2010/6/15
四百击,,,1959,2010/6/15
生活大爆炸  第三季,,,2009,2010/6/15
北朝鲜纪实,,,2005,2010/6/4
海扁王,,,2010,2010/5/29
东京攻略,,,2000,2010/5/29
东风雨,,,2010,2010/5/22
爱丽丝梦游仙境,,,2010,2010/5/15
国家地理：北韩揭秘,,,2007,2010/5/13
叶问2：宗师传奇,,,2010,2010/5/12
后窗,,,1954,2010/5/3
盗火线,,,1995,2010/5/3
午夜凶铃,,,1998,2010/5/3
邓小平,,,2003,2010/4/29
达摩祖师,,,1994,2010/4/29
猜火车,,,1996,2010/4/29
苏乞儿,,,2010,2010/4/27
杜拉拉升职记,,,2010,2010/4/25
火龙对决,,,2010,2010/4/23
蓝色大门,,,2002,2010/4/10
北京浪花,,,2005,2010/4/10
越光宝盒,,,2010,2010/4/10
猛龙过江,,,1972,2010/3/28
古墓丽影,,,2001,2010/3/21
杀死比尔2,,,2004,2010/3/21
两杆大烟枪,,,1998,2010/3/21
三枪拍案惊奇,,,2009,2010/3/20
大兵小将,,,2010,2010/3/19
杀死比尔,,,2003,2010/3/18
西雅图未眠夜,,,1993,2010/3/18
福星高照,,,1985,2010/3/18
埃及艳后的任务,,,2002,2010/3/18
阿凡达：创建潘多拉世界,,,2010,2010/3/18
你丫闭嘴！,,,2003,2010/3/18
未知电影,,,,2010/3/18
暴力街区,,,2004,2010/3/18
顽主,,,1988,2010/3/18
街头霸王: 春丽传奇,,,2009,2010/3/18
第六日,,,2000,2010/3/18
蜘蛛侠3,,,2007,2010/3/18
通缉令,,,2008,2010/3/18
霹雳娇娃,,,2000,2010/3/18
龙之吻,,,2001,2010/3/18
蜘蛛侠,,,2002,2010/3/18
飞鹰,,,2004,2010/3/18
天下无贼,,,2004,2010/3/18
A计划续集,,,1987,2010/3/18
没事偷着乐,,,1999,2010/3/18
非诚勿扰,,,2008,2010/3/18
后天,,,2004,2010/3/18
三毛从军记,,,1992,2010/3/18
疯狂的赛车,,,2009,2010/3/18
手机,,,2003,2010/3/18
大腕,,,2001,2010/3/18
小鸡快跑,,,2000,2010/3/18
即日启程,,,2008,2010/3/18
冰川时代2,,,2006,2010/3/18
爱情呼叫转移Ⅱ：爱情左右,,,2008,2010/3/18
变形金刚2,,,2009,2010/3/18
爱情呼叫转移,,,2007,2010/3/18
小鬼当家,,,1990,2010/3/18
十全九美,,,2008,2010/3/18
道格的特别任务,,,2009,2010/3/18
跳跳羊,,,2004,2010/3/18
顽皮跳跳灯,,,1986,2010/3/18
松鼠，坚果和时间机器,,,2006,2010/3/18
海豚湾,,,2009,2010/3/14
李献计历险记,,,2009,2010/3/13
惊魂记,,,1960,2010/3/13
命运呼叫转移,,,2007,2010/3/13
夜·店,,,2009,2010/3/13
大侦探福尔摩斯,,,2009,2010/3/13
宇宙追缉令,,,2001,2010/3/12
熊猫大侠,,,2009,2010/3/10
曼谷杀手,,,2008,2010/3/9
007：大破量子危机,,,2008,2010/3/9
锦衣卫,,,2010,2010/3/9
宋家皇朝,,,1997,2010/3/7
72家租客,,,2010,2010/3/6
黑侠,,,1996,2010/1/26
阿凡达,,,2009,2010/1/23
勇敢的心,,,1995,2010/1/23
风云Ⅱ,,,2009,2010/1/20
高兴,,,2009,2010/1/19
生死抉择,,,2000,2010/1/19
十月围城,,,2009,2010/1/19
追影,,,2009,2010/1/18
刺陵,,,2009,2010/1/15
甲方乙方,,,1997,2010/1/10
疯狂的石头,,,2006,2010/1/10
致命魔术,,,2006,2010/1/2
无间道风云,,,2006,2010/1/1
十三罗汉,,,2007,2010/1/1
古墓丽影2,,,2003,2010/1/1
极限特工2,,,2005,2010/1/1
极限特工,,,2002,2010/1/1
玩命快递,,,2002,2010/1/1
少林寺,,,1982,2009/12/27
大灌篮,,,2008,2009/12/27
锡铁小兵,,,1988,2009/12/27
无极,,,2005,2009/12/27
满城尽带黄金甲,,,2006,2009/12/27
霹雳娇娃2,,,2003,2009/12/27
小杰克的攻击,,,2005,2009/12/27
超级计划,,,1993,2009/12/27
黑衣人2,,,2002,2009/12/27
尖峰时刻,,,1998,2009/12/27
双子神偷,,,2007,2009/12/27
醉拳3,,,1994,2009/12/27
卡萨布兰卡,,,1942,2009/12/27
难以忽视的真相,,,2006,2009/12/26
天才瑞普利,,,1999,2009/12/26
夕阳天使,,,2002,2009/12/21
就是这样,,,2009,2009/12/21
绝代双骄,,,1992,2009/12/19
纵横四海,,,1991,2009/12/16
花木兰,,,2009,2009/12/15
放牛班的春天,,,2004,2009/12/14
醉拳2,,,1994,2009/12/14
2012,,,2009,2009/12/14
笑林小子,,,1994,2009/12/12
神奇燕尾服,,,2002,2009/12/12
尖峰时刻2,,,2001,2009/12/12
飞龙再生,,,2003,2009/12/12
环游地球八十天,,,2004,2009/12/12
尖峰时刻3,,,2007,2009/12/12
新宿事件,,,2009,2009/12/12
黄飞鸿之五：龙城歼霸,,,1994,2009/12/12
天脉传奇,,,2002,2009/12/12
A计划,,,1983,2009/12/12
黄飞鸿之四：王者之风,,,1993,2009/12/9
红番区,,,1995,2009/12/4
美国派(番外篇)7：索爱天书,,,2009,2009/11/30
香水,,,2006,2009/11/29
地道战,,,1965,2009/11/28
蝙蝠侠与罗宾,,,1997,2009/11/28
黑侠2,,,2002,2009/11/28
红高粱,,,1988,2009/11/28
正牌韦小宝之奉旨沟女,,,1993,2009/11/28
神枪手与智多星,,,2007,2009/11/28
蝙蝠侠：侠影之谜,,,2005,2009/11/28
硬汉,,,2008,2009/11/28
夺标,,,2008,2009/11/28
英雄,,,2002,2009/11/28
银翼杀手,,,1982,2009/11/28
防弹武僧,,,2003,2009/11/28
伯恩的身份,,,1988,2009/11/28
黄飞鸿之西域雄狮,,,1997,2009/11/28
龙在少林,,,1996,2009/11/28
三岔口,,,2005,2009/11/28
最佳女婿,,,1988,2009/11/28
江山美人,,,2008,2009/11/28
霍元甲,,,2006,2009/11/28
龙虎门,,,2006,2009/11/28
角斗士,,,2000,2009/11/28
美丽人生,,,1997,2009/11/27
高三,,,2005,2009/11/21
天生杀人狂,,,1994,2009/11/21
新天龙八部之天山童姥,,,1994,2009/11/19
中华英雄,,,1999,2009/11/19
赤壁(下),,,2009,2009/11/19
夺帅,,,2008,2009/11/19
超级学校霸王,,,1993,2009/11/19
卧虎藏龙,,,2000,2009/11/19
第一诫,,,2008,2009/11/19
古惑仔情义篇之洪兴十三妹,,,1998,2009/11/19
刀剑笑,,,1994,2009/11/19
胜者为王,,,2000,2009/11/19
98古惑仔之龙争虎斗,,,1998,2009/11/19
97古惑仔战无不胜,,,1997,2009/11/19
古惑仔3之只手遮天,,,1996,2009/11/19
古惑仔2之猛龙过江,,,1996,2009/11/19
十兄弟,,,1995,2009/11/19
呆佬拜寿,,,1995,2009/11/19
剑蝶,,,2008,2009/11/19
古惑仔之人在江湖,,,1996,2009/11/19
冒险王,,,1996,2009/11/19
玻璃樽,,,1999,2009/11/19
蜀山传,,,2001,2009/11/19
大事件,,,2004,2009/11/19
决战紫禁之巅,,,2000,2009/11/19
杀破狼,,,2005,2009/11/19
功夫之王,,,2008,2009/11/19
三国之见龙卸甲,,,2008,2009/11/19
老鼠爱上猫,,,2003,2009/11/19
导火线,,,2007,2009/11/19
千机变Ⅱ花都大战,,,2004,2009/11/19
男儿本色,,,2007,2009/11/19
千机变,,,2003,2009/11/19
韩城攻略,,,2005,2009/11/19
情癫大圣,,,2005,2009/11/19
神话,,,2005,2009/11/19
芭啦芭啦樱之花,,,2001,2009/11/19
新警察故事,,,2004,2009/11/19
长江七号,,,2008,2009/11/19
头文字D,,,2005,2009/11/19
天下无双,,,2002,2009/11/19
画皮,,,2008,2009/11/19
赤壁(上),,,2008,2009/11/19
投名状,,,2007,2009/11/19
宝贝计划,,,2006,2009/11/19
叶问,,,2008,2009/11/19
夺宝奇兵,,,1981,2009/11/18
毕业生,,,1967,2009/11/18
风云雄霸天下,,,1998,2009/11/18
十七岁的单车,,,2001,2009/11/18
奇爱博士,,,1964,2009/11/18
神探,,,2007,2009/11/18
007：大战皇家赌场,,,2006,2009/11/18
哈尔的移动城堡,,,2004,2009/11/18
水浒传之英雄本色,,,1993,2009/11/18
东方三侠,,,1993,2009/11/18
六指琴魔,,,1994,2009/11/18
咖喱辣椒,,,1990,2009/11/18
鬼子来了,,,2000,2009/11/17
第九区,,,2009,2009/11/15
东方不败之风云再起,,,1993,2009/11/12
虎口脱险,,,1966,2009/11/9
阳光灿烂的日子,,,1994,2009/11/7
风之谷,,,1984,2009/11/7
莫扎特传,,,1984,2009/11/7
2001太空漫游,,,1968,2009/11/7
重庆森林,,,1994,2009/11/7
暖暖内含光,,,2004,2009/11/7
东邪西毒,,,1994,2009/11/7
心灵捕手,,,1997,2009/11/7
谍影重重3,,,2007,2009/11/7
谍影重重,,,2002,2009/11/7
廊桥遗梦,,,1995,2009/11/7
末代皇帝,,,1987,2009/11/7
谍影重重2,,,2004,2009/11/7
暗花,,,1998,2009/11/7
尼罗河上的惨案,,,1978,2009/11/7
闪灵,,,1980,2009/11/7
愤怒的公牛,,,1980,2009/11/6
吴清源,,,2006,2009/11/6
情圣,,,1991,2009/11/2
金刚,,,2005,2009/11/1
整蛊专家,,,1991,2009/10/26
窃听风云,,,2009,2009/10/26
电焊工波力,,,2008,2009/10/26
门徒,,,2007,2009/10/26
飞屋环游记,,,2009,2009/10/24
黑社会,,,2005,2009/10/23
瘦身男女,,,2001,2009/10/23
警察故事4：简单任务,,,1996,2009/10/23
警察故事3：超级警察,,,1992,2009/10/23
警察故事续集,,,1988,2009/10/23
警察故事,,,1985,2009/10/22
破坏之王,,,1994,2009/10/22
生死时速,,,1994,2009/10/21
现代启示录,,,1979,2009/10/19
建国大业,,,2009,2009/10/16
一本漫画闯天涯,,,1990,2009/10/16
无敌幸运星,,,1990,2009/10/16
洪熙官,,,1994,2009/10/16
给爸爸的信,,,1995,2009/10/16
太极张三丰,,,1993,2009/10/16
生活大爆炸  第二季,,,2008,2009/10/15
漫画威龙,,,1992,2009/10/15
少年黄飞鸿之铁马骝,,,1993,2009/10/15
倚天屠龙记之魔教教主,,,1993,2009/10/15
精武英雄,,,1994,2009/10/15
笑傲江湖2：东方不败,,,1992,2009/10/15
方世玉续集,,,1993,2009/10/15
黄飞鸿之三：狮王争霸,,,1992,2009/10/15
黄飞鸿之二：男儿当自强,,,1992,2009/10/15
千王之王2000,,,1999,2009/10/15
枪火,,,1999,2009/10/15
中南海保镖,,,1994,2009/10/15
方世玉,,,1993,2009/10/15
黄飞鸿,,,1991,2009/10/15
回魂夜,,,1995,2009/10/15
赌神2,,,1994,2009/10/15
功夫,,,2004,2009/10/15
无间道3：终极无间,,,2003,2009/10/15
英雄本色,,,1986,2009/10/15
倩女幽魂3：道道道,,,1991,2009/10/15
木乃伊归来,,,2001,2009/10/15
黑客帝国3：矩阵革命,,,2003,2009/10/15
赌侠,,,1990,2009/10/15
百变星君,,,1995,2009/10/15
逃学威龙2,,,1992,2009/10/15
武状元苏乞儿,,,1992,2009/10/15
赌圣,,,1990,2009/10/15
逃学威龙,,,1991,2009/10/15
哈利·波特与凤凰社,,,2007,2009/10/15
冒牌天神,,,2003,2009/10/15
变相怪杰,,,1994,2009/10/15
第一滴血,,,1982,2009/10/15
第五元素,,,1997,2009/10/15
赌神,,,1989,2009/10/15
木乃伊,,,1999,2009/10/15
黑客帝国动画版,,,2003,2009/10/15
美食总动员,,,2007,2009/10/15
无间道2,,,2003,2009/10/15
家有喜事,,,1992,2009/10/15
少林足球,,,2001,2009/10/15
棋逢敌手,,,1997,2009/10/15
倩女幽魂2：人间道,,,1990,2009/10/15
黑衣人,,,1997,2009/10/15
倩女幽魂,,,1987,2009/10/15
喜剧之王,,,1999,2009/10/15
审死官,,,1992,2009/10/15
算死草,,,1997,2009/10/15
终结者2：审判日,,,1991,2009/10/15
哈利·波特与混血王子,,,2009,2009/10/15
逃学威龙3之龙过鸡年,,,1993,2009/10/15
黑客帝国2：重装上阵,,,2003,2009/10/15
哈利·波特与火焰杯,,,2005,2009/10/15
食神,,,1996,2009/10/15
大内密探零零发,,,1996,2009/10/15
哈利·波特与阿兹卡班的囚徒,,,2004,2009/10/15
九品芝麻官,,,1994,2009/10/15
鹿鼎记2：神龙教,,,1992,2009/10/15
哈利·波特与密室,,,2002,2009/10/15
青蛇,,,1993,2009/10/15
暗战,,,1999,2009/10/15
我，机器人,,,2004,2009/10/15
新龙门客栈,,,1992,2009/10/15
功夫熊猫之盖世五侠的秘密,,,2008,2009/10/15
贫民窟的百万富翁,,,2008,2009/10/15
鸟！鸟！鸟！,,,2000,2009/10/15
蝙蝠侠：黑暗骑士,,,2008,2009/10/15
国家宝藏,,,2004,2009/10/15
沉默的羔羊,,,1991,2009/10/15
功夫熊猫,,,2008,2009/10/15
狮子王,,,1994,2009/10/15
变形金刚,,,2007,2009/10/15
独立日,,,1996,2009/10/15
断箭,,,1996,2009/10/15
赌侠2：上海滩赌圣,,,1991,2009/10/15
真实的谎言,,,1994,2009/10/15
鹿鼎记,,,1992,2009/10/15
罪恶之城,,,2005,2009/10/15
射雕英雄传之东成西就,,,1993,2009/10/14
国产凌凌漆,,,1994,2009/10/14
黑客帝国,,,1999,2009/10/14
唐伯虎点秋香,,,1993,2009/10/14
泰坦尼克号,,,1997,2009/10/14
哈利·波特与魔法石,,,2001,2009/10/14
加勒比海盗3：世界的尽头,,,2007,2009/10/14
大话西游之月光宝盒,,,1995,2009/10/14
加勒比海盗2：亡灵的宝藏,,,2006,2009/10/14
无间道,,,2002,2009/10/14
加勒比海盗,,,2003,2009/10/14
美丽心灵,,,2001,2009/10/14
七宗罪,,,1995,2009/10/14
指环王1：护戒使者,,,2001,2009/10/14
低俗小说,,,1994,2009/10/14
菊次郎的夏天,,,1999,2009/10/14
楚门的世界,,,1998,2009/10/14
指环王2：双塔奇兵,,,2002,2009/10/14
大话西游之大圣娶亲,,,1995,2009/10/14
活着,,,1994,2009/10/14
当幸福来敲门,,,2006,2009/10/14
闻香识女人,,,1992,2009/10/14
指环王3：王者无敌,,,2003,2009/10/14
上帝之城,,,2002,2009/10/14
罗马假日,,,1953,2009/10/14
千与千寻,,,2001,2009/10/14
飞越疯人院,,,1975,2009/10/14
天使爱美丽,,,2001,2009/10/14
教父2,,,1974,2009/10/14
家园,,,2009,2009/10/14
暴力云与送子鹳,,,2009,2009/10/14
搏击俱乐部,,,1999,2009/10/14
海上钢琴师,,,1998,2009/10/14
教父,,,1972,2009/10/14
机器人总动员,,,2008,2009/10/14
霸王别姬,,,1993,2009/10/14
阿甘正传,,,1994,2009/10/14
肖申克的救赎,,,1994,2009/10/14
勇闯夺命岛,,,1996,2009/10/14
斗牛,,,2009,2009/10/14
魔术师和兔子,,,2008,2009/10/14
打，打个大西瓜,,,2008,2009/10/14
战争之王,,,2005,2009/10/14
兵临城下,,,2001,2009/10/14
拯救大兵瑞恩,,,1998,2009/10/14
黑鹰坠落,,,2001,2009/10/14
